Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,SalePrice
163,7,1541,2,1541,2,2005,2005,1,12182,NridgHt,Gd,Gd,Y,220000
164,4,882,0,882,1,1956,1956,0,5500,OldTown,TA,TA,Y,103200
165,6,1616,1,1149,2,1926,2004,0,5400,OldTown,TA,Gd,Y,152000
166,5,1355,0,644,2,1940,1999,0,10106,Edwards,TA,TA,Y,127500
167,5,1867,1,1617,1,1955,1993,3,10708,ClearCr,Gd,TA,Y,190000
168,8,2161,3,1582,1,2007,2007,1,10562,NridgHt,Gd,Ex,Y,325624
169,7,1720,2,840,2,2004,2004,1,8244,Gilbert,Gd,Gd,Y,183500
170,8,1707,2,1686,2,1981,1981,1,16669,Timber,Gd,TA,Y,228000
171,5,1382,2,720,1,1941,1950,0,12358,OldTown,TA,TA,Y,128500
172,6,1656,2,1080,1,1960,1960,2,31770,NAmes,TA,TA,Y,215000
173,7,1767,2,1064,2,1987,1987,1,5306,StoneBr,Gd,Gd,Y,239000
174,6,1362,2,1362,1,1961,1961,1,10197,NAmes,TA,TA,Y,163000
175,6,1651,2,1606,2,1986,1986,1,12416,Timber,TA,TA,Y,184000
176,6,2158,2,1202,2,1950,2001,1,12615,Edwards,TA,Gd,Y,243000
177,6,2060,2,1151,2,1988,1989,1,10029,ClearCr,Gd,TA,Y,211000
178,5,1920,2,1052,2,1958,1958,1,13650,Sawyer,Gd,Gd,Y,172500
179,9,2234,3,2216,2,2008,2009,1,17423,StoneBr,Ex,Ex,Y,501837
180,5,968,2,968,1,1923,2006,0,8520,OldTown,Gd,TA,Y,100000
181,6,1525,2,756,2,2000,2000,1,2117,Somerst,Gd,Gd,Y,177000
182,7,1802,1,793,1,1920,1950,1,7588,Crawfor,TA,TA,Y,200100
183,5,1340,1,0,1,1957,2006,1,9060,Edwards,TA,TA,Y,120000
184,7,2082,2,1362,2,2003,2003,0,11426,OldTown,TA,Gd,Y,200000
185,5,1252,2,504,1,1908,1991,0,7438,BrkSide,TA,TA,Y,127000
186,10,3608,3,1107,2,1892,1993,2,22950,OldTown,Gd,Ex,Y,475000
187,7,1217,2,1188,2,1990,1991,0,9947,Mitchel,TA,Gd,Y,173000
188,5,1656,1,660,2,1916,1987,0,10410,OldTown,TA,TA,Y,135000
189,5,1224,2,1086,0,1979,1979,2,7018,SawyerW,TA,TA,Y,153337
190,8,1593,2,1593,1,2001,2002,1,4923,StoneBr,Gd,Ex,Y,286000
191,8,2727,2,853,2,1932,1994,2,10570,Crawfor,Gd,Gd,Y,315000
192,7,1479,2,725,1,1972,2004,0,7472,NAmes,TA,Gd,Y,184000
193,7,1431,2,1431,2,1999,1999,0,9017,CollgCr,Gd,Gd,Y,192000
194,7,1709,2,970,2,2004,2004,0,2522,Edwards,Gd,Gd,Y,130000
195,5,864,1,864,1,1972,1972,0,7180,CollgCr,TA,TA,Y,127000
196,6,1456,2,855,2,1976,1976,1,2280,NPkVill,TA,TA,Y,148500
197,7,1726,3,1726,2,2007,2007,1,9416,Somerst,Ex,Ex,Y,311872
198,8,3112,2,1360,2,1918,1990,1,25419,NAmes,Gd,Gd,Y,235000
199,6,2229,0,755,1,1912,1950,0,5520,OldTown,TA,TA,Y,104000
200,8,1713,3,1713,2,2004,2005,1,9591,NridgHt,Gd,Ex,Y,274900
201,4,1121,2,1121,2,2003,2004,0,8546,Edwards,TA,TA,Y,140000
202,6,1279,2,1196,2,1977,1977,2,10125,Mitchel,TA,TA,Y,171500
203,6,1310,1,617,2,1924,1950,0,7000,OldTown,TA,TA,Y,112000
204,6,848,2,848,1,2004,2004,1,4438,CollgCr,Gd,Gd,Y,149000
205,5,1284,1,720,1,1947,1950,0,3500,OldTown,TA,TA,Y,110000
206,7,1442,2,1424,2,1990,1990,0,11851,Gilbert,TA,TA,Y,180500
207,5,1696,1,1140,1,1962,1962,1,13673,Sawyer,TA,TA,Y,143900
208,4,1100,1,1100,1,1960,1960,1,12493,NAmes,TA,TA,Y,141000
209,7,2062,2,1157,2,1988,1989,1,14364,SawyerW,Gd,TA,Y,277000
210,6,1092,2,1092,1,1964,1964,0,8250,NAmes,TA,TA,Y,145000
211,5,864,0,864,1,1925,1950,0,5604,Edwards,TA,TA,N,98000
212,6,1212,2,1212,2,2009,2009,0,10420,Edwards,TA,Gd,Y,186000
213,7,1852,2,900,2,2009,2009,1,8640,Somerst,TA,Gd,Y,252678
214,5,990,2,990,1,1995,1995,0,13568,CollgCr,TA,TA,Y,156000
215,6,1392,1,689,1,1977,1977,0,10900,CollgCr,TA,TA,Y,161750
216,5,1236,1,1070,1,1957,1996,1,10011,NAmes,TA,Gd,Y,134450
217,7,1436,2,1436,2,2004,2004,0,8450,CollgCr,Gd,Gd,Y,210000
218,4,1328,1,686,1,1925,1950,0,9906,OldTown,TA,TA,N,107000
219,7,1954,2,798,1,1939,2006,2,15660,Crawfor,Gd,Gd,Y,311500
220,7,1248,2,1248,2,2005,2006,0,3010,Blmngtn,Gd,Gd,Y,167240
221,7,1498,2,1498,2,2006,2006,0,8990,CollgCr,Gd,Gd,Y,204900
222,6,2267,2,1010,2,2002,2002,1,8068,Gilbert,Gd,Gd,Y,200000
223,6,1552,2,713,2,1975,1975,1,11475,NWAmes,TA,TA,Y,179900
224,4,864,2,864,1,1971,1971,0,10500,NAmes,TA,TA,Y,97000
225,10,2392,3,2392,2,2003,2003,1,13472,NridgHt,Ex,Ex,Y,386250
226,5,1302,1,630,2,1971,1971,0,1680,BrDale,TA,TA,Y,112000
227,7,2520,3,1203,2,1995,1995,1,9950,NoRidge,Gd,Gd,Y,290000
228,6,987,1,483,1,1970,1970,0,1869,BrDale,TA,TA,Y,106000
229,5,912,1,912,1,1967,1967,1,8521,Sawyer,TA,TA,Y,125000
230,7,1555,2,1373,2,2005,2006,1,3182,Blmngtn,Gd,Gd,Y,192500
231,6,1194,1,1194,1,1959,1959,0,8760,NAmes,TA,TA,Y,148000
232,8,2794,3,1462,2,1995,1996,1,15138,NoRidge,Gd,Ex,Y,403000
233,6,987,1,483,1,1972,1972,1,1680,BrDale,TA,TA,Y,94500
234,5,894,1,894,1,1976,1976,0,10650,CollgCr,TA,TA,Y,128200
235,6,1960,2,860,2,2002,2002,2,7851,Gilbert,Gd,Gd,Y,216500
236,6,987,1,483,1,1971,1971,0,1680,BrDale,TA,TA,Y,89500
237,7,1414,2,1414,2,2004,2004,0,8773,CollgCr,Gd,Gd,Y,185500
238,7,1744,2,996,2,1993,2003,0,9453,SawyerW,Gd,Gd,Y,194500
239,8,1694,3,1694,2,2007,2007,0,12030,NridgHt,Ex,Gd,Y,318000
240,6,1487,1,735,1,1945,1950,1,8741,Edwards,TA,TA,Y,113000
241,8,1566,2,1566,2,2008,2008,0,9000,Somerst,Gd,Gd,Y,262500
242,5,866,0,686,1,1945,1997,0,3880,OldTown,TA,Gd,Y,110500
243,5,1440,1,540,1,1900,1950,0,5000,OldTown,TA,TA,N,79000
244,6,1217,1,626,1,1980,1980,1,10762,SawyerW,TA,TA,Y,120000
245,7,2110,2,948,2,1994,2002,2,8880,SawyerW,Gd,Gd,Y,205000
246,7,1872,2,1845,2,1988,1988,1,10400,NWAmes,TA,TA,Y,241500
247,6,1928,1,1020,2,1910,1950,0,9142,OldTown,TA,Fa,N,137000
248,6,1375,2,1367,1,1954,1954,1,11310,NAmes,TA,TA,Y,140000
249,7,1668,2,840,2,2003,2003,0,11317,CollgCr,Gd,Gd,Y,180000
250,6,2144,2,1444,2,1958,2006,2,159000,ClearCr,Gd,Gd,Y,277000
251,3,1306,0,728,1,1940,1966,0,5350,BrkSide,TA,Fa,Y,76500
252,8,1625,2,1573,2,2006,2007,1,4750,Crawfor,Gd,Gd,Y,235000
253,6,1640,2,798,2,2004,2004,0,8366,SawyerW,Gd,Gd,Y,173000
254,6,1302,1,1302,2,1964,1991,0,9350,NAmes,TA,Gd,Y,158000
255,5,1314,1,1314,1,1957,1957,0,8400,NAmes,TA,TA,Y,145000
256,7,2291,2,975,2,1999,1999,1,8738,Gilbert,Gd,Gd,Y,230000
257,6,1728,2,864,2,2003,2003,0,8791,Somerst,Gd,Gd,Y,207500
258,7,1604,2,1604,2,2006,2006,1,8814,CollgCr,Gd,Gd,Y,220000
259,7,1792,2,963,2,2001,2001,1,12435,CollgCr,Gd,Gd,Y,231500
260,5,882,1,0,1,1956,1956,0,12702,OldTown,TA,TA,Y,97000
261,6,1382,2,1362,1,1962,1962,1,19296,NAmes,TA,TA,Y,176000
262,8,2574,3,1482,2,2007,2007,1,9588,CollgCr,Gd,Ex,Y,276000
263,6,1212,2,506,1,1977,1995,1,8471,Sawyer,TA,TA,Y,151000
264,5,1316,2,926,1,1929,2001,0,5500,OldTown,TA,TA,Y,130000
265,5,764,2,680,1,1925,2004,0,5232,OldTown,TA,TA,N,73000
266,6,1422,2,1422,2,1981,1981,1,12090,NWAmes,TA,Gd,Y,175500
267,6,1511,2,802,2,1997,1997,1,11207,Gilbert,TA,TA,Y,185000
268,5,2192,1,720,2,1939,1997,1,8400,SWISU,TA,Gd,Y,179500
269,5,778,1,740,1,1940,1955,1,6900,IDOTRR,TA,TA,Y,120500
270,6,1113,1,1143,1,1976,1976,1,7917,Edwards,TA,TA,Y,148000
271,8,1939,3,1095,2,2006,2006,1,10728,Somerst,Gd,Gd,Y,266000
272,7,1363,2,1385,1,1954,2005,2,39104,ClearCr,TA,TA,Y,241500
273,8,2270,3,1152,2,1999,2007,1,11764,NoRidge,Gd,Gd,Y,290000
274,6,1632,1,1240,2,1958,1988,1,9600,NAmes,TA,TA,Y,139000
275,5,816,1,816,1,1982,1982,0,8314,Mitchel,TA,TA,Y,124500
276,7,1548,2,952,2,1925,2007,0,7264,BrkSide,Gd,Ex,N,205000
277,7,1560,2,1560,2,2003,2003,0,9196,Mitchel,Gd,Gd,Y,201000
278,4,864,2,864,1,1951,1951,0,19138,Gilbert,TA,TA,Y,141000
279,9,2121,3,2121,2,2006,2007,1,14450,NridgHt,Ex,Ex,Y,415298
280,7,2022,2,1160,2,1977,1977,1,10005,ClearCr,TA,TA,Y,192000
281,7,1982,2,807,2,1989,1989,1,11287,SawyerW,Gd,Gd,Y,228500
282,6,1262,2,1262,2,2006,2006,0,7200,Somerst,Gd,Gd,Y,185000
283,7,1314,2,1314,2,2007,2008,1,5063,NridgHt,Gd,Gd,Y,207500
284,8,1468,3,1468,2,2008,2009,1,9612,Somerst,Gd,Gd,Y,244600
285,6,1575,2,1575,2,1992,1992,0,8012,SawyerW,Gd,Gd,Y,179200
286,7,1250,2,625,2,2006,2007,0,4251,Somerst,Gd,Gd,Y,164700
287,6,1734,2,912,1,1962,1981,1,9786,NAmes,TA,Gd,Y,159000
288,4,858,0,858,1,1971,1971,0,8125,NAmes,TA,TA,Y,88000
289,5,900,1,882,1,1967,1967,0,9819,Sawyer,TA,TA,Y,122000
290,6,1396,1,698,1,1915,2003,0,8730,BrkSide,TA,TA,Y,153575
291,8,1919,2,1079,2,2006,2006,1,15611,CollgCr,Gd,Gd,Y,233230
292,5,1716,0,780,2,1912,2000,0,5687,SWISU,TA,Fa,N,135900
293,5,1716,1,768,1,1949,2008,1,11409,Edwards,TA,TA,Y,131000
294,7,2263,2,795,2,1977,1994,1,16659,NWAmes,TA,Gd,Y,235000
295,6,1644,2,1416,1,1953,1953,2,9600,NAmes,TA,TA,Y,167000
296,6,1003,2,1003,1,1984,1984,0,7937,Mitchel,TA,TA,Y,142500
297,5,1558,1,910,1,1950,1950,0,13710,IDOTRR,TA,TA,Y,152000
298,7,1950,2,975,2,1997,1998,1,7399,Somerst,Gd,Gd,Y,239000
299,6,1743,2,702,1,1968,1968,1,11700,NWAmes,Gd,TA,Y,175000
300,6,1152,1,1092,1,1950,2004,1,14000,Crawfor,TA,Gd,Y,158500
301,5,1336,1,1165,1,1953,1953,2,15750,Crawfor,TA,TA,Y,157000
302,8,2452,2,1028,2,1998,1999,1,16226,CollgCr,Gd,Gd,Y,267000
303,7,1541,3,1541,2,2001,2002,1,13704,CollgCr,Gd,Gd,Y,205000
304,5,894,2,894,1,1972,1972,0,9800,CollgCr,TA,TA,Y,149900
305,7,3493,3,1470,3,1880,2002,1,18386,OldTown,TA,Gd,Y,295000
306,8,2000,3,2000,2,2004,2005,0,10386,CollgCr,Gd,Gd,Y,305900
307,7,2243,3,700,2,1990,1991,1,13474,SawyerW,Gd,Gd,Y,225000
308,6,1406,0,319,1,1920,1950,0,7920,IDOTRR,TA,Fa,Y,89500
309,4,861,2,861,1,1940,1950,0,12342,Edwards,TA,TA,Y,82500
310,9,1944,3,1896,2,2003,2004,3,12378,NridgHt,Gd,Ex,Y,360000
311,6,1501,2,697,2,1993,1994,1,7685,Gilbert,TA,Gd,Y,165600
312,6,972,1,972,1,1948,2002,1,8000,NAmes,TA,TA,Y,132000
313,5,1118,2,793,1,1939,1950,1,7800,OldTown,TA,TA,Y,119900
314,7,2036,2,2136,2,1965,1965,2,215245,Timber,TA,TA,Y,375000
315,7,1641,2,728,1,1925,1990,1,9600,OldTown,TA,Ex,Y,178000
316,7,1432,2,716,2,2004,2005,1,7795,Gilbert,Gd,Gd,Y,188500
317,7,2353,2,845,2,1980,1980,1,13005,NWAmes,Gd,Ex,Y,260000
318,8,1959,3,1088,2,2006,2006,1,9000,Somerst,Gd,Gd,Y,270000
319,7,2646,3,1347,2,1993,1993,1,9900,NoRidge,Gd,Gd,Y,260000
320,7,1472,2,1372,2,1980,1980,2,14115,NWAmes,TA,TA,Y,187500
321,9,2596,3,1249,3,2006,2006,0,16259,NridgHt,TA,Gd,Y,342643
