Id,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,SalePrice
69,4,747,1,220,747,747,1,4,1945,1950,0,4608,OldTown,TA,TA,Y,80000
70,7,2287,2,667,1304,1304,2,7,1953,1953,1,15593,ClearCr,Gd,TA,Y,225000
71,7,2223,2,516,2223,2223,2,8,1973,1973,2,13651,NAmes,TA,TA,Y,244000
72,4,845,2,360,845,845,1,4,1982,2006,0,7599,Mitchel,TA,TA,Y,129500
73,7,1718,2,427,832,885,2,7,1998,1998,1,10141,Gilbert,TA,TA,Y,185000
74,5,1086,2,490,1086,1086,1,6,1954,2003,0,10200,NAmes,TA,TA,Y,144900
75,3,1605,1,379,840,840,2,8,1915,1950,0,5790,OldTown,Gd,TA,N,107400
76,4,988,1,297,462,526,1,5,1973,1973,0,1596,MeadowV,TA,TA,Y,91000
77,4,952,1,283,952,952,1,4,1956,1956,0,8475,NAmes,TA,TA,Y,135750
78,5,1285,1,240,672,1072,1,6,1948,2001,0,8635,BrkSide,TA,TA,Y,127000
79,4,1768,0,0,1768,1768,2,8,1968,1968,0,10778,Sawyer,TA,TA,N,136500
80,5,1230,2,440,440,682,1,5,1910,1981,0,10440,OldTown,TA,TA,Y,110000
81,6,2142,1,509,896,1182,2,8,1968,1968,1,13000,NAmes,TA,Gd,Y,193500
82,6,1337,2,405,1237,1337,2,5,1998,1998,0,4500,Mitchel,TA,TA,Y,153500
83,8,1563,3,758,1563,1563,2,6,2007,2007,1,10206,Somerst,TA,Gd,Y,245000
84,5,1065,2,461,1065,1065,1,6,1960,1960,0,8892,NAmes,TA,TA,Y,126500
85,7,1474,2,400,384,804,2,7,1995,1996,1,8530,Gilbert,TA,TA,Y,168500
86,8,2417,2,462,1288,1301,2,9,1991,1992,1,16059,NoRidge,Gd,Gd,Y,260000
87,6,1560,2,400,684,684,2,6,2005,2005,1,11911,Gilbert,Gd,Gd,Y,174000
88,6,1224,2,528,612,612,2,4,2009,2009,0,3951,Somerst,Gd,Gd,Y,164500
89,3,1526,0,0,1013,1013,1,6,1915,1982,0,8470,IDOTRR,Fa,Fa,N,85000
90,4,990,0,0,990,990,1,5,1994,1995,0,8070,CollgCr,TA,TA,Y,123600
91,4,1040,2,420,0,1040,1,4,1950,1950,0,7200,NAmes,TA,TA,Y,109900
92,5,1235,2,480,1235,1235,1,6,1961,1961,0,8500,NAmes,TA,TA,Y,98600
93,5,964,2,432,876,964,1,5,1921,2006,0,13360,Crawfor,TA,TA,Y,163500
94,6,2291,2,506,1214,1260,2,9,1910,1998,1,7200,OldTown,TA,TA,N,133900
95,6,1786,2,684,824,905,2,7,1997,1997,0,9337,CollgCr,TA,Gd,Y,204750
96,6,1470,2,420,680,680,2,6,1993,1993,1,9765,Gilbert,Ex,TA,Y,185000
97,7,1588,2,472,1588,1588,2,6,1999,1999,0,10264,CollgCr,Gd,Gd,Y,214000
98,4,960,1,432,960,960,1,6,1965,1965,0,10921,Edwards,TA,TA,Y,94750
99,5,835,1,366,458,835,1,5,1920,1950,0,10625,Edwards,TA,TA,N,83000
100,4,1225,0,0,950,1225,1,6,1959,1959,0,9320,NAmes,TA,TA,Y,128950
101,6,1610,2,480,1610,1610,2,6,1977,2001,2,10603,NWAmes,TA,Gd,Y,205000
102,6,1732,2,476,741,977,2,7,1985,1985,1,9206,SawyerW,Gd,Gd,Y,178000
103,5,1535,2,410,0,1535,2,8,1979,1979,0,7018,SawyerW,TA,TA,Y,118964
104,7,1226,3,740,1226,1226,2,6,2009,2009,0,10402,CollgCr,TA,Gd,Y,198900
105,7,1818,1,240,1040,1226,1,7,1931,1950,2,7758,IDOTRR,TA,TA,Y,169500
106,8,1992,2,648,1053,1053,2,9,2003,2004,1,9375,Somerst,Gd,Gd,Y,250000
107,4,1047,1,273,641,1047,1,6,1885,1995,0,10800,OldTown,TA,TA,Y,100000
108,5,789,1,250,789,789,1,5,1948,1950,0,6000,OldTown,TA,TA,Y,115000
109,5,1517,0,0,793,997,2,7,1919,2005,0,8500,IDOTRR,TA,Fa,N,115000
110,6,1844,2,546,1844,1844,2,7,1977,1977,1,11751,NWAmes,TA,TA,Y,190000
111,6,1855,1,325,994,1216,2,7,1954,1972,0,9525,Edwards,TA,TA,Y,136900
112,7,1430,2,400,384,774,2,7,2000,2000,1,7750,Gilbert,TA,TA,Y,180000
113,7,2696,3,792,1264,1282,2,10,2007,2007,1,9965,CollgCr,Gd,Ex,Y,383970
114,6,2259,2,450,1809,2259,2,7,1953,1953,2,21000,Crawfor,TA,Gd,Y,217000
115,6,2320,1,180,1028,1436,2,9,1945,2002,1,7259,Crawfor,TA,Gd,Y,259500
116,6,1458,2,440,729,729,2,5,1999,1999,1,3230,Somerst,TA,TA,Y,176000
117,5,1092,1,288,1092,1092,1,6,1962,1962,1,11616,Sawyer,TA,TA,Y,139000
118,5,1125,2,430,1125,1125,1,5,2006,2007,0,8536,Edwards,TA,TA,Y,155000
119,7,3222,3,594,1673,1699,3,11,1990,1990,2,12376,SawyerW,TA,Gd,Y,320000
120,6,1456,2,390,728,728,2,8,2005,2006,1,8461,CollgCr,Gd,Gd,Y,163990
121,6,988,2,540,938,988,1,4,1969,1969,2,21453,ClearCr,TA,TA,Y,180000
122,4,1123,1,264,732,772,1,4,1939,1950,0,6060,IDOTRR,TA,TA,Y,100000
123,6,1080,1,288,1080,1080,1,5,1958,1958,0,9464,NAmes,TA,TA,Y,136000
124,6,1199,2,530,1199,1199,2,5,1993,1993,0,7892,SawyerW,Gd,Gd,Y,153900
125,6,1586,2,435,1362,1586,2,7,1979,1998,1,17043,NWAmes,TA,TA,Y,181000
126,6,754,0,0,520,520,1,5,1935,1982,0,6780,IDOTRR,TA,TA,N,84500
127,6,958,2,440,1078,958,2,5,1976,1976,1,4928,NPkVill,TA,TA,Y,128000
128,5,840,0,0,672,840,1,5,1930,1950,1,4388,OldTown,TA,TA,Y,87000
129,6,1348,2,453,660,660,1,6,1966,1966,1,7590,NAmes,TA,TA,Y,155000
130,5,1053,2,750,1008,1053,1,6,1958,1991,0,8973,NAmes,TA,Ex,Y,150000
131,7,2157,2,487,924,1216,2,8,1966,1966,2,14200,NAmes,TA,Gd,Y,226000
132,6,2054,2,390,992,1022,2,7,2000,2000,1,12224,Gilbert,Gd,Gd,Y,244000
133,5,1327,2,624,1063,1327,1,7,1959,2002,0,7388,NAmes,TA,Gd,Y,150750
134,8,1296,2,471,1267,1296,2,6,2001,2002,0,6853,Timber,Gd,Gd,Y,220000
135,5,1721,2,440,1461,1721,2,7,1968,1993,1,10335,Sawyer,TA,TA,Y,180000
136,7,1682,2,530,1304,1682,2,7,1970,1970,1,10400,NWAmes,TA,TA,Y,174000
137,5,1214,1,318,1214,1214,2,5,1967,1967,1,10355,NAmes,TA,TA,Y,143000
138,7,1959,3,766,1907,1959,3,9,1988,1989,0,11070,Mitchel,TA,TA,Y,171000
139,8,1852,3,660,1004,1004,2,7,1999,2000,2,9066,CollgCr,Gd,Gd,Y,230000
140,6,1764,2,470,928,928,2,7,1997,1997,0,15426,CollgCr,TA,Gd,Y,231500
141,4,864,0,0,864,864,1,5,1971,1971,1,10500,NAmes,TA,TA,Y,115000
142,7,1734,2,660,1734,1734,2,7,2005,2005,0,11645,CollgCr,Gd,Gd,Y,260000
143,5,1385,2,720,910,910,2,6,1952,1952,0,8520,NAmes,TA,TA,Y,166000
144,7,1501,2,577,1490,1501,2,6,1999,1999,0,10335,CollgCr,Gd,Gd,Y,204000
145,5,1728,2,504,1728,1728,2,10,1963,1963,0,9100,Sawyer,TA,TA,Y,125000
146,6,1709,2,380,970,970,2,7,2004,2006,0,2522,Edwards,Gd,Gd,Y,130000
147,5,875,1,180,715,875,1,5,1931,1993,0,6120,BrkSide,TA,TA,Y,105000
148,7,2035,2,434,884,884,2,8,2001,2001,1,9505,Gilbert,Gd,Gd,Y,222500
149,7,1080,0,0,1080,1080,1,6,2004,2005,0,7500,SawyerW,TA,Gd,Y,141000
150,5,1344,1,240,896,896,1,7,1936,1950,0,6240,BrkSide,TA,TA,Y,115000
151,5,969,2,440,969,969,1,5,1975,1975,0,10356,CollgCr,TA,TA,Y,122000
152,8,1710,3,866,1710,1710,2,6,2007,2008,1,13891,NridgHt,Gd,Gd,Y,372402
153,6,1993,2,495,825,1097,2,8,1971,1971,1,14803,NWAmes,TA,TA,Y,190000
154,6,1252,2,564,1602,1252,1,4,1960,1975,1,13500,ClearCr,TA,TA,Y,235000
155,6,1200,1,312,1200,1200,1,7,1923,1950,0,11340,OldTown,TA,TA,Y,125000
156,6,1096,0,0,572,572,1,5,1924,1950,0,9600,Edwards,TA,TA,N,79000
157,5,1040,2,625,0,1040,1,5,1950,1950,0,7200,NAmes,TA,TA,Y,109500
158,8,1968,3,680,774,774,2,8,2009,2010,1,12003,Timber,Gd,Ex,Y,269500
159,7,1947,2,678,991,991,2,8,2004,2005,1,12552,Somerst,Gd,Gd,Y,254900
160,7,2462,2,576,1392,1392,2,9,2005,2006,1,19378,Gilbert,Gd,Gd,Y,320000
161,6,1232,2,516,1232,1232,2,6,1984,1984,0,11120,Veenker,TA,TA,Y,162500
162,9,2668,3,726,1572,1572,2,10,2003,2004,2,13688,NridgHt,Gd,Ex,Y,412500
163,7,1541,2,532,1541,1541,2,7,2005,2005,1,12182,NridgHt,Gd,Gd,Y,220000
164,4,882,0,0,882,882,1,4,1956,1956,0,5500,OldTown,TA,TA,Y,103200
165,6,1616,1,216,1149,1149,2,5,1926,2004,0,5400,OldTown,TA,Gd,Y,152000
166,5,1355,0,0,644,808,2,6,1940,1999,0,10106,Edwards,TA,TA,Y,127500
167,5,1867,1,303,1617,1867,1,7,1955,1993,3,10708,ClearCr,Gd,TA,Y,190000
168,8,2161,3,789,1582,1610,1,8,2007,2007,1,10562,NridgHt,Gd,Ex,Y,325624
169,7,1720,2,440,840,840,2,7,2004,2004,1,8244,Gilbert,Gd,Gd,Y,183500
170,8,1707,2,511,1686,1707,2,6,1981,1981,1,16669,Timber,Gd,TA,Y,228000
171,5,1382,2,660,720,854,1,7,1941,1950,0,12358,OldTown,TA,TA,Y,128500
172,6,1656,2,528,1080,1656,1,7,1960,1960,2,31770,NAmes,TA,TA,Y,215000
173,7,1767,2,504,1064,1064,2,5,1987,1987,1,5306,StoneBr,Gd,Gd,Y,239000
174,6,1362,2,504,1362,1362,1,6,1961,1961,1,10197,NAmes,TA,TA,Y,163000
175,6,1651,2,616,1606,1651,2,7,1986,1986,1,12416,Timber,TA,TA,Y,184000
176,6,2158,2,576,1202,2158,2,7,1950,2001,1,12615,Edwards,TA,Gd,Y,243000
177,6,2060,2,521,1151,1164,2,8,1988,1989,1,10029,ClearCr,Gd,TA,Y,211000
178,5,1920,2,451,1052,1252,2,8,1958,1958,1,13650,Sawyer,Gd,Gd,Y,172500
179,9,2234,3,1166,2216,2234,2,9,2008,2009,1,17423,StoneBr,Ex,Ex,Y,501837
180,5,968,2,480,968,968,1,5,1923,2006,0,8520,OldTown,Gd,TA,Y,100000
181,6,1525,2,440,756,769,2,5,2000,2000,1,2117,Somerst,Gd,Gd,Y,177000
182,7,1802,1,216,793,901,1,9,1920,1950,1,7588,Crawfor,TA,TA,Y,200100
183,5,1340,1,252,0,1340,1,7,1957,2006,1,9060,Edwards,TA,TA,Y,120000
184,7,2082,2,484,1362,1362,2,6,2003,2003,0,11426,OldTown,TA,Gd,Y,200000
185,5,1252,2,576,504,936,1,5,1908,1991,0,7438,BrkSide,TA,TA,Y,127000
186,10,3608,3,840,1107,1518,2,12,1892,1993,2,22950,OldTown,Gd,Ex,Y,475000
187,7,1217,2,497,1188,1217,2,6,1990,1991,0,9947,Mitchel,TA,Gd,Y,173000
188,5,1656,1,180,660,808,2,8,1916,1987,0,10410,OldTown,TA,TA,Y,135000
189,5,1224,2,528,1086,1224,0,6,1979,1979,2,7018,SawyerW,TA,TA,Y,153337
190,8,1593,2,682,1593,1593,1,5,2001,2002,1,4923,StoneBr,Gd,Ex,Y,286000
191,8,2727,2,440,853,1549,2,10,1932,1994,2,10570,Crawfor,Gd,Gd,Y,315000
192,7,1479,2,484,725,725,1,7,1972,2004,0,7472,NAmes,TA,Gd,Y,184000
193,7,1431,2,666,1431,1431,2,6,1999,1999,0,9017,CollgCr,Gd,Gd,Y,192000
194,7,1709,2,380,970,970,2,7,2004,2004,0,2522,Edwards,Gd,Gd,Y,130000
195,5,864,1,352,864,864,1,5,1972,1972,0,7180,CollgCr,TA,TA,Y,127000
196,6,1456,2,440,855,855,2,7,1976,1976,1,2280,NPkVill,TA,TA,Y,148500
197,7,1726,3,786,1726,1726,2,8,2007,2007,1,9416,Somerst,Ex,Ex,Y,311872
198,8,3112,2,795,1360,1360,2,8,1918,1990,1,25419,NAmes,Gd,Gd,Y,235000
199,6,2229,0,0,755,929,1,8,1912,1950,0,5520,OldTown,TA,TA,Y,104000
200,8,1713,3,856,1713,1713,2,7,2004,2005,1,9591,NridgHt,Gd,Ex,Y,274900
201,4,1121,2,440,1121,1121,2,5,2003,2004,0,8546,Edwards,TA,TA,Y,140000
202,6,1279,2,473,1196,1279,2,6,1977,1977,2,10125,Mitchel,TA,TA,Y,171500
203,6,1310,1,398,617,865,2,6,1924,1950,0,7000,OldTown,TA,TA,Y,112000
204,6,848,2,420,848,848,1,3,2004,2004,1,4438,CollgCr,Gd,Gd,Y,149000
205,5,1284,1,240,720,720,1,5,1947,1950,0,3500,OldTown,TA,TA,Y,110000
206,7,1442,2,500,1424,1442,2,5,1990,1990,0,11851,Gilbert,TA,TA,Y,180500
207,5,1696,1,349,1140,1696,1,8,1962,1962,1,13673,Sawyer,TA,TA,Y,143900
208,4,1100,1,312,1100,1100,1,6,1960,1960,1,12493,NAmes,TA,TA,Y,141000
209,7,2062,2,454,1157,1180,2,7,1988,1989,1,14364,SawyerW,Gd,TA,Y,277000
210,6,1092,2,504,1092,1092,1,6,1964,1964,0,8250,NAmes,TA,TA,Y,145000
211,5,864,0,0,864,864,1,5,1925,1950,0,5604,Edwards,TA,TA,N,98000
212,6,1212,2,460,1212,1212,2,6,2009,2009,0,10420,Edwards,TA,Gd,Y,186000
213,7,1852,2,644,900,932,2,7,2009,2009,1,8640,Somerst,TA,Gd,Y,252678
214,5,990,2,576,990,990,1,5,1995,1995,0,13568,CollgCr,TA,TA,Y,156000
215,6,1392,1,299,689,689,1,6,1977,1977,0,10900,CollgCr,TA,TA,Y,161750
216,5,1236,1,447,1070,1236,1,6,1957,1996,1,10011,NAmes,TA,Gd,Y,134450
217,7,1436,2,484,1436,1436,2,8,2004,2004,0,8450,CollgCr,Gd,Gd,Y,210000
218,4,1328,1,210,686,810,1,8,1925,1950,0,9906,OldTown,TA,TA,N,107000
219,7,1954,2,431,798,1137,1,8,1939,2006,2,15660,Crawfor,Gd,Gd,Y,311500
220,7,1248,2,438,1248,1248,2,5,2005,2006,0,3010,Blmngtn,Gd,Gd,Y,167240
221,7,1498,2,675,1498,1498,2,5,2006,2006,0,8990,CollgCr,Gd,Gd,Y,204900
222,6,2267,2,390,1010,1010,2,8,2002,2002,1,8068,Gilbert,Gd,Gd,Y,200000
223,6,1552,2,434,713,811,2,6,1975,1975,1,11475,NWAmes,TA,TA,Y,179900
224,4,864,2,576,864,864,1,4,1971,1971,0,10500,NAmes,TA,TA,Y,97000
225,10,2392,3,968,2392,2392,2,8,2003,2003,1,13472,NridgHt,Ex,Ex,Y,386250
226,5,1302,1,280,630,630,2,6,1971,1971,0,1680,BrDale,TA,TA,Y,112000
227,7,2520,3,721,1203,1214,2,9,1995,1995,1,9950,NoRidge,Gd,Gd,Y,290000
228,6,987,1,280,483,483,1,5,1970,1970,0,1869,BrDale,TA,TA,Y,106000
229,5,912,1,336,912,912,1,5,1967,1967,1,8521,Sawyer,TA,TA,Y,125000
230,7,1555,2,430,1373,1555,2,7,2005,2006,1,3182,Blmngtn,Gd,Gd,Y,192500
231,6,1194,1,312,1194,1194,1,6,1959,1959,0,8760,NAmes,TA,TA,Y,148000
232,8,2794,3,810,1462,1490,2,9,1995,1996,1,15138,NoRidge,Gd,Ex,Y,403000
233,6,987,1,288,483,483,1,5,1972,1972,1,1680,BrDale,TA,TA,Y,94500
234,5,894,1,308,894,894,1,5,1976,1976,0,10650,CollgCr,TA,TA,Y,128200
235,6,1960,2,440,860,860,2,8,2002,2002,2,7851,Gilbert,Gd,Gd,Y,216500
236,6,987,1,264,483,483,1,5,1971,1971,0,1680,BrDale,TA,TA,Y,89500
237,7,1414,2,494,1414,1414,2,6,2004,2004,0,8773,CollgCr,Gd,Gd,Y,185500
238,7,1744,2,457,996,1014,2,7,1993,2003,0,9453,SawyerW,Gd,Gd,Y,194500
239,8,1694,3,818,1694,1694,2,7,2007,2007,0,12030,NridgHt,Ex,Gd,Y,318000
240,6,1487,1,220,735,798,1,7,1945,1950,1,8741,Edwards,TA,TA,Y,113000
241,8,1566,2,750,1566,1566,2,7,2008,2008,0,9000,Somerst,Gd,Gd,Y,262500
242,5,866,0,0,686,866,1,4,1945,1997,0,3880,OldTown,TA,Gd,Y,110500
243,5,1440,1,352,540,889,1,6,1900,1950,0,5000,OldTown,TA,TA,N,79000
244,6,1217,1,288,626,626,1,6,1980,1980,1,10762,SawyerW,TA,TA,Y,120000
245,7,2110,2,463,948,1222,2,8,1994,2002,2,8880,SawyerW,Gd,Gd,Y,205000
246,7,1872,2,604,1845,1872,2,6,1988,1988,1,10400,NWAmes,TA,TA,Y,241500
247,6,1928,1,440,1020,908,2,9,1910,1950,0,9142,OldTown,TA,Fa,N,137000
248,6,1375,2,451,1367,1375,1,5,1954,1954,1,11310,NAmes,TA,TA,Y,140000
249,7,1668,2,500,840,840,2,8,2003,2003,0,11317,CollgCr,Gd,Gd,Y,180000
250,6,2144,2,389,1444,1444,2,7,1958,2006,2,159000,ClearCr,Gd,Gd,Y,277000
251,3,1306,0,0,728,1306,1,6,1940,1966,0,5350,BrkSide,TA,Fa,Y,76500
252,8,1625,2,538,1573,1625,2,5,2006,2007,1,4750,Crawfor,Gd,Gd,Y,235000
253,6,1640,2,520,798,798,2,6,2004,2004,0,8366,SawyerW,Gd,Gd,Y,173000
254,6,1302,1,309,1302,1302,2,7,1964,1991,0,9350,NAmes,TA,Gd,Y,158000
255,5,1314,1,294,1314,1314,1,5,1957,1957,0,8400,NAmes,TA,TA,Y,145000
256,7,2291,2,429,975,1005,2,8,1999,1999,1,8738,Gilbert,Gd,Gd,Y,230000
257,6,1728,2,673,864,864,2,7,2003,2003,0,8791,Somerst,Gd,Gd,Y,207500
258,7,1604,2,660,1604,1604,2,8,2006,2006,1,8814,CollgCr,Gd,Gd,Y,220000
259,7,1792,2,564,963,963,2,7,2001,2001,1,12435,CollgCr,Gd,Gd,Y,231500
260,5,882,1,308,0,882,1,4,1956,1956,0,12702,OldTown,TA,TA,Y,97000
261,6,1382,2,884,1362,1382,1,6,1962,1962,1,19296,NAmes,TA,TA,Y,176000
262,8,2574,3,868,1482,1482,2,10,2007,2007,1,9588,CollgCr,Gd,Ex,Y,276000
263,6,1212,2,492,506,1212,1,6,1977,1995,1,8471,Sawyer,TA,TA,Y,151000
264,5,1316,2,484,926,926,1,6,1929,2001,0,5500,OldTown,TA,TA,Y,130000
265,5,764,2,504,680,764,1,4,1925,2004,0,5232,OldTown,TA,TA,N,73000
266,6,1422,2,576,1422,1422,2,7,1981,1981,1,12090,NWAmes,TA,Gd,Y,175500
267,6,1511,2,413,802,802,2,8,1997,1997,1,11207,Gilbert,TA,TA,Y,185000
268,5,2192,1,240,720,1052,2,8,1939,1997,1,8400,SWISU,TA,Gd,Y,179500
269,5,778,1,924,740,778,1,4,1940,1955,1,6900,IDOTRR,TA,TA,Y,120500
270,6,1113,1,504,1143,1113,1,6,1976,1976,1,7917,Edwards,TA,TA,Y,148000
271,8,1939,3,1053,1095,1095,2,8,2006,2006,1,10728,Somerst,Gd,Gd,Y,266000
272,7,1363,2,439,1385,1363,1,5,1954,2005,2,39104,ClearCr,TA,TA,Y,241500
273,8,2270,3,671,1152,1164,2,9,1999,2007,1,11764,NoRidge,Gd,Gd,Y,290000
274,6,1632,1,338,1240,1632,2,6,1958,1988,1,9600,NAmes,TA,TA,Y,139000
275,5,816,1,264,816,816,1,5,1982,1982,0,8314,Mitchel,TA,TA,Y,124500
276,7,1548,2,672,952,952,2,5,1925,2007,0,7264,BrkSide,Gd,Ex,N,205000
277,7,1560,2,573,1560,1560,2,7,2003,2003,0,9196,Mitchel,Gd,Gd,Y,201000
278,4,864,2,400,864,864,1,4,1951,1951,0,19138,Gilbert,TA,TA,Y,141000
