Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,Fireplaces,LotArea,Neighborhood,ExterQual,KitchenQual,CentralAir,TotalSF,HouseAge,RemodAge,IsRemodeled,Qual_x_Area,Qual_x_TotalSF,HasFireplace,LotRatio,SalePrice
102,6,1732,2,741,2,1985,1985,1,9206,SawyerW,Gd,Gd,Y,2473,25,25,0,10392,14838,1,0.188138,178000
103,5,1535,2,0,2,1979,1979,0,7018,SawyerW,TA,TA,Y,1535,31,31,0,7675,7675,0,0.218723,118964
104,7,1226,3,1226,2,2009,2009,0,10402,CollgCr,TA,Gd,Y,2452,1,1,0,8582,17164,0,0.117862,198900
105,7,1818,1,1040,1,1931,1950,2,7758,IDOTRR,TA,TA,Y,2858,79,60,1,12726,20006,1,0.234339,169500
106,8,1992,2,1053,2,2003,2004,1,9375,Somerst,Gd,Gd,Y,3045,7,6,1,15936,24360,1,0.21248,250000
107,4,1047,1,641,1,1885,1995,0,10800,OldTown,TA,TA,Y,1688,125,15,1,4188,6752,0,0.096944,100000
108,5,789,1,789,1,1948,1950,0,6000,OldTown,TA,TA,Y,1578,62,60,1,3945,7890,0,0.1315,115000
109,5,1517,0,793,2,1919,2005,0,8500,IDOTRR,TA,Fa,N,2310,91,5,1,7585,11550,0,0.178471,115000
110,6,1844,2,1844,2,1977,1977,1,11751,NWAmes,TA,TA,Y,3688,33,33,0,11064,22128,1,0.156923,190000
111,6,1855,1,994,2,1954,1972,0,9525,Edwards,TA,TA,Y,2849,56,38,1,11130,17094,0,0.194751,136900
112,7,1430,2,384,2,2000,2000,1,7750,Gilbert,TA,TA,Y,1814,10,10,0,10010,12698,1,0.184516,180000
113,7,2696,3,1264,2,2007,2007,1,9965,CollgCr,Gd,Ex,Y,3960,3,3,0,18872,27720,1,0.270547,383970
114,6,2259,2,1809,2,1953,1953,2,21000,Crawfor,TA,Gd,Y,4068,57,57,0,13554,24408,1,0.107571,217000
115,6,2320,1,1028,2,1945,2002,1,7259,Crawfor,TA,Gd,Y,3348,65,8,1,13920,20088,1,0.319603,259500
116,6,1458,2,729,2,1999,1999,1,3230,Somerst,TA,TA,Y,2187,11,11,0,8748,13122,1,0.451393,176000
117,5,1092,1,1092,1,1962,1962,1,11616,Sawyer,TA,TA,Y,2184,48,48,0,5460,10920,1,0.094008,139000
118,5,1125,2,1125,1,2006,2007,0,8536,Edwards,TA,TA,Y,2250,4,3,1,5625,11250,0,0.131795,155000
119,7,3222,3,1673,3,1990,1990,2,12376,SawyerW,TA,Gd,Y,4895,20,20,0,22554,34265,1,0.260343,320000
120,6,1456,2,728,2,2005,2006,1,8461,CollgCr,Gd,Gd,Y,2184,5,4,1,8736,13104,1,0.172084,163990
121,6,988,2,938,1,1969,1969,2,21453,ClearCr,TA,TA,Y,1926,41,41,0,5928,11556,1,0.046054,180000
122,4,1123,1,732,1,1939,1950,0,6060,IDOTRR,TA,TA,Y,1855,71,60,1,4492,7420,0,0.185314,100000
123,6,1080,1,1080,1,1958,1958,0,9464,NAmes,TA,TA,Y,2160,52,52,0,6480,12960,0,0.114117,136000
124,6,1199,2,1199,2,1993,1993,0,7892,SawyerW,Gd,Gd,Y,2398,17,17,0,7194,14388,0,0.151926,153900
125,6,1586,2,1362,2,1979,1998,1,17043,NWAmes,TA,TA,Y,2948,31,12,1,9516,17688,1,0.093059,181000
126,6,754,0,520,1,1935,1982,0,6780,IDOTRR,TA,TA,N,1274,75,28,1,4524,7644,0,0.111209,84500
127,6,958,2,1078,2,1976,1976,1,4928,NPkVill,TA,TA,Y,2036,34,34,0,5748,12216,1,0.194399,128000
128,5,840,0,672,1,1930,1950,1,4388,OldTown,TA,TA,Y,1512,80,60,1,4200,7560,1,0.191431,87000
129,6,1348,2,660,1,1966,1966,1,7590,NAmes,TA,TA,Y,2008,44,44,0,8088,12048,1,0.177602,155000
130,5,1053,2,1008,1,1958,1991,0,8973,NAmes,TA,Ex,Y,2061,52,19,1,5265,10305,0,0.117352,150000
131,7,2157,2,924,2,1966,1966,2,14200,NAmes,TA,Gd,Y,3081,44,44,0,15099,21567,1,0.151901,226000
132,6,2054,2,992,2,2000,2000,1,12224,Gilbert,Gd,Gd,Y,3046,10,10,0,12324,18276,1,0.16803,244000
133,5,1327,2,1063,1,1959,2002,0,7388,NAmes,TA,Gd,Y,2390,51,8,1,6635,11950,0,0.179616,150750
134,8,1296,2,1267,2,2001,2002,0,6853,Timber,Gd,Gd,Y,2563,9,8,1,10368,20504,0,0.189114,220000
135,5,1721,2,1461,2,1968,1993,1,10335,Sawyer,TA,TA,Y,3182,42,17,1,8605,15910,1,0.166522,180000
136,7,1682,2,1304,2,1970,1970,1,10400,NWAmes,TA,TA,Y,2986,40,40,0,11774,20902,1,0.161731,174000
137,5,1214,1,1214,2,1967,1967,1,10355,NAmes,TA,TA,Y,2428,43,43,0,6070,12140,1,0.117238,143000
138,7,1959,3,1907,3,1988,1989,0,11070,Mitchel,TA,TA,Y,3866,22,21,1,13713,27062,0,0.176965,171000
139,8,1852,3,1004,2,1999,2000,2,9066,CollgCr,Gd,Gd,Y,2856,11,10,1,14816,22848,1,0.20428,230000
140,6,1764,2,928,2,1997,1997,0,15426,CollgCr,TA,Gd,Y,2692,13,13,0,10584,16152,0,0.114352,231500
141,4,864,0,864,1,1971,1971,1,10500,NAmes,TA,TA,Y,1728,39,39,0,3456,6912,1,0.082286,115000
142,7,1734,2,1734,2,2005,2005,0,11645,CollgCr,Gd,Gd,Y,3468,5,5,0,12138,24276,0,0.148905,260000
143,5,1385,2,910,2,1952,1952,0,8520,NAmes,TA,TA,Y,2295,58,58,0,6925,11475,0,0.162559,166000
144,7,1501,2,1490,2,1999,1999,0,10335,CollgCr,Gd,Gd,Y,2991,11,11,0,10507,20937,0,0.145235,204000
145,5,1728,2,1728,2,1963,1963,0,9100,Sawyer,TA,TA,Y,3456,47,47,0,8640,17280,0,0.18989,125000
146,6,1709,2,970,2,2004,2006,0,2522,Edwards,Gd,Gd,Y,2679,6,4,1,10254,16074,0,0.677637,130000
147,5,875,1,715,1,1931,1993,0,6120,BrkSide,TA,TA,Y,1590,79,17,1,4375,7950,0,0.142974,105000
148,7,2035,2,884,2,2001,2001,1,9505,Gilbert,Gd,Gd,Y,2919,9,9,0,14245,20433,1,0.214098,222500
149,7,1080,0,1080,1,2004,2005,0,7500,SawyerW,TA,Gd,Y,2160,6,5,1,7560,15120,0,0.144,141000
150,5,1344,1,896,1,1936,1950,0,6240,BrkSide,TA,TA,Y,2240,74,60,1,6720,11200,0,0.215385,115000
151,5,969,2,969,1,1975,1975,0,10356,CollgCr,TA,TA,Y,1938,35,35,0,4845,9690,0,0.093569,122000
152,8,1710,3,1710,2,2007,2008,1,13891,NridgHt,Gd,Gd,Y,3420,3,2,1,13680,27360,1,0.123101,372402
153,6,1993,2,825,2,1971,1971,1,14803,NWAmes,TA,TA,Y,2818,39,39,0,11958,16908,1,0.134635,190000
154,6,1252,2,1602,1,1960,1975,1,13500,ClearCr,TA,TA,Y,2854,50,35,1,7512,17124,1,0.092741,235000
155,6,1200,1,1200,1,1923,1950,0,11340,OldTown,TA,TA,Y,2400,87,60,1,7200,14400,0,0.10582,125000
156,6,1096,0,572,1,1924,1950,0,9600,Edwards,TA,TA,N,1668,86,60,1,6576,10008,0,0.114167,79000
157,5,1040,2,0,1,1950,1950,0,7200,NAmes,TA,TA,Y,1040,60,60,0,5200,5200,0,0.144444,109500
158,8,1968,3,774,2,2009,2010,1,12003,Timber,Gd,Ex,Y,2742,1,0,1,15744,21936,1,0.163959,269500
159,7,1947,2,991,2,2004,2005,1,12552,Somerst,Gd,Gd,Y,2938,6,5,1,13629,20566,1,0.155115,254900
160,7,2462,2,1392,2,2005,2006,1,19378,Gilbert,Gd,Gd,Y,3854,5,4,1,17234,26978,1,0.127051,320000
161,6,1232,2,1232,2,1984,1984,0,11120,Veenker,TA,TA,Y,2464,26,26,0,7392,14784,0,0.110791,162500
162,9,2668,3,1572,2,2003,2004,2,13688,NridgHt,Gd,Ex,Y,4240,7,6,1,24012,38160,1,0.194915,412500
163,7,1541,2,1541,2,2005,2005,1,12182,NridgHt,Gd,Gd,Y,3082,5,5,0,10787,21574,1,0.126498,220000
164,4,882,0,882,1,1956,1956,0,5500,OldTown,TA,TA,Y,1764,54,54,0,3528,7056,0,0.160364,103200
165,6,1616,1,1149,2,1926,2004,0,5400,OldTown,TA,Gd,Y,2765,84,6,1,9696,16590,0,0.299259,152000
166,5,1355,0,644,2,1940,1999,0,10106,Edwards,TA,TA,Y,1999,70,11,1,6775,9995,0,0.134079,127500
167,5,1867,1,1617,1,1955,1993,3,10708,ClearCr,Gd,TA,Y,3484,55,17,1,9335,17420,1,0.174356,190000
168,8,2161,3,1582,1,2007,2007,1,10562,NridgHt,Gd,Ex,Y,3743,3,3,0,17288,29944,1,0.204601,325624
169,7,1720,2,840,2,2004,2004,1,8244,Gilbert,Gd,Gd,Y,2560,6,6,0,12040,17920,1,0.208637,183500
170,8,1707,2,1686,2,1981,1981,1,16669,Timber,Gd,TA,Y,3393,29,29,0,13656,27144,1,0.102406,228000
171,5,1382,2,720,1,1941,1950,0,12358,OldTown,TA,TA,Y,2102,69,60,1,6910,10510,0,0.11183,128500
172,6,1656,2,1080,1,1960,1960,2,31770,NAmes,TA,TA,Y,2736,50,50,0,9936,16416,1,0.052125,215000
173,7,1767,2,1064,2,1987,1987,1,5306,StoneBr,Gd,Gd,Y,2831,23,23,0,12369,19817,1,0.333019,239000
174,6,1362,2,1362,1,1961,1961,1,10197,NAmes,TA,TA,Y,2724,49,49,0,8172,16344,1,0.133569,163000
175,6,1651,2,1606,2,1986,1986,1,12416,Timber,TA,TA,Y,3257,24,24,0,9906,19542,1,0.132974,184000
176,6,2158,2,1202,2,1950,2001,1,12615,Edwards,TA,Gd,Y,3360,60,9,1,12948,20160,1,0.171066,243000
177,6,2060,2,1151,2,1988,1989,1,10029,ClearCr,Gd,TA,Y,3211,22,21,1,12360,19266,1,0.205404,211000
178,5,1920,2,1052,2,1958,1958,1,13650,Sawyer,Gd,Gd,Y,2972,52,52,0,9600,14860,1,0.140659,172500
179,9,2234,3,2216,2,2008,2009,1,17423,StoneBr,Ex,Ex,Y,4450,2,1,1,20106,40050,1,0.128221,501837
180,5,968,2,968,1,1923,2006,0,8520,OldTown,Gd,TA,Y,1936,87,4,1,4840,9680,0,0.113615,100000
181,6,1525,2,756,2,2000,2000,1,2117,Somerst,Gd,Gd,Y,2281,10,10,0,9150,13686,1,0.720359,177000
182,7,1802,1,793,1,1920,1950,1,7588,Crawfor,TA,TA,Y,2595,90,60,1,12614,18165,1,0.23748,200100
183,5,1340,1,0,1,1957,2006,1,9060,Edwards,TA,TA,Y,1340,53,4,1,6700,6700,1,0.147903,120000
184,7,2082,2,1362,2,2003,2003,0,11426,OldTown,TA,Gd,Y,3444,7,7,0,14574,24108,0,0.182216,200000
185,5,1252,2,504,1,1908,1991,0,7438,BrkSide,TA,TA,Y,1756,102,19,1,6260,8780,0,0.168325,127000
186,10,3608,3,1107,2,1892,1993,2,22950,OldTown,Gd,Ex,Y,4715,118,17,1,36080,47150,1,0.157211,475000
187,7,1217,2,1188,2,1990,1991,0,9947,Mitchel,TA,Gd,Y,2405,20,19,1,8519,16835,0,0.122348,173000
188,5,1656,1,660,2,1916,1987,0,10410,OldTown,TA,TA,Y,2316,94,23,1,8280,11580,0,0.159078,135000
189,5,1224,2,1086,0,1979,1979,2,7018,SawyerW,TA,TA,Y,2310,31,31,0,6120,11550,1,0.174409,153337
190,8,1593,2,1593,1,2001,2002,1,4923,StoneBr,Gd,Ex,Y,3186,9,8,1,12744,25488,1,0.323583,286000
191,8,2727,2,853,2,1932,1994,2,10570,Crawfor,Gd,Gd,Y,3580,78,16,1,21816,28640,1,0.257994,315000
192,7,1479,2,725,1,1972,2004,0,7472,NAmes,TA,Gd,Y,2204,38,6,1,10353,15428,0,0.197939,184000
193,7,1431,2,1431,2,1999,1999,0,9017,CollgCr,Gd,Gd,Y,2862,11,11,0,10017,20034,0,0.1587,192000
194,7,1709,2,970,2,2004,2004,0,2522,Edwards,Gd,Gd,Y,2679,6,6,0,11963,18753,0,0.677637,130000
195,5,864,1,864,1,1972,1972,0,7180,CollgCr,TA,TA,Y,1728,38,38,0,4320,8640,0,0.120334,127000
196,6,1456,2,855,2,1976,1976,1,2280,NPkVill,TA,TA,Y,2311,34,34,0,8736,13866,1,0.638596,148500
197,7,1726,3,1726,2,2007,2007,1,9416,Somerst,Ex,Ex,Y,3452,3,3,0,12082,24164,1,0.183305,311872
198,8,3112,2,1360,2,1918,1990,1,25419,NAmes,Gd,Gd,Y,4472,92,20,1,24896,35776,1,0.122428,235000
199,6,2229,0,755,1,1912,1950,0,5520,OldTown,TA,TA,Y,2984,98,60,1,13374,17904,0,0.403804,104000
200,8,1713,3,1713,2,2004,2005,1,9591,NridgHt,Gd,Ex,Y,3426,6,5,1,13704,27408,1,0.178605,274900
201,4,1121,2,1121,2,2003,2004,0,8546,Edwards,TA,TA,Y,2242,7,6,1,4484,8968,0,0.131172,140000
202,6,1279,2,1196,2,1977,1977,2,10125,Mitchel,TA,TA,Y,2475,33,33,0,7674,14850,1,0.126321,171500
203,6,1310,1,617,2,1924,1950,0,7000,OldTown,TA,TA,Y,1927,86,60,1,7860,11562,0,0.187143,112000
204,6,848,2,848,1,2004,2004,1,4438,CollgCr,Gd,Gd,Y,1696,6,6,0,5088,10176,1,0.191077,149000
205,5,1284,1,720,1,1947,1950,0,3500,OldTown,TA,TA,Y,2004,63,60,1,6420,10020,0,0.366857,110000
206,7,1442,2,1424,2,1990,1990,0,11851,Gilbert,TA,TA,Y,2866,20,20,0,10094,20062,0,0.121677,180500
207,5,1696,1,1140,1,1962,1962,1,13673,Sawyer,TA,TA,Y,2836,48,48,0,8480,14180,1,0.12404,143900
208,4,1100,1,1100,1,1960,1960,1,12493,NAmes,TA,TA,Y,2200,50,50,0,4400,8800,1,0.088049,141000
209,7,2062,2,1157,2,1988,1989,1,14364,SawyerW,Gd,TA,Y,3219,22,21,1,14434,22533,1,0.143553,277000
210,6,1092,2,1092,1,1964,1964,0,8250,NAmes,TA,TA,Y,2184,46,46,0,6552,13104,0,0.132364,145000
